,Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,GRM21BR61A476ME15K,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 47uF, X5R, 15%, 20%, 10V","C1, C16, C17",CMP-06035-042633-1,New From Design,Up to date,3,Murata,GRM21BR61A476ME15K,Volume Production,Digikey,490-GRM21BR61A476ME15KCT-ND,0.61,1.83
,,CL05B104KA5NNNC,"Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0402",C2,CMP-001-00119-1,Draft,Up to date,1,Samsung,CL05B104KA5NNNC,Volume Production,Digikey,1276-6720-1-ND,0.08,0.08
,,10uF,"Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X5R, 15%, 10%, 25V",C3,CMP-2007-03541-2,Unknown server,Up to date,1,Murata,GRM21BR61E106KA73L,Volume Production,Mouser,81-GRM21BR61E106KA3L,0.21,0.21
,,Capacitor 100nF +/-20% 25V 0402,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm","C4, C10",CMP-001-00065-4,Draft,Up to date,2,Samsung,CL05A104KA5NNNC,Volume Production,Digikey,1276-1043-1-ND,0.002,0.02
,,Capacitor 1uF +/- 10% 16V 0603,"Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)",C5,CMP-001-00004-6,Draft,Up to date,1,KEMET,C0603C105K4RACTU,Volume Production,Digikey,399-C0603C105K4RACTUCT-ND,0.08,0.08
,,Capacitor 10 pF +/- 5% 50 V 0402,"Chip Capacitor, 10 pF, +/- 5%, 50 V, 0402 (1005 Metric)",C6,CMP-001-00013-6,Draft,Up to date,1,Yageo,CC0402JRNPO9BN100,Volume Production,Digikey,311-1014-1-ND,0.1,0.1
,,EMK105BJ105KV-F,None,"C7, C12",CMP-14477-000104-2,New From Design,Up to date,2,Taiyo Yuden,EMK105BJ105KV-F,Volume Production,Digikey,587-2477-1-ND,0.08,0.16
,,1uF,"General Purpose Ceramic Capacitor, 0805, 100nF, 10%, X7R, 0.15, 50V","C8, C9",CMP-2000-05016-2,Released,Up to date,2,Kyocera AVX,08055C104KAT2A,Volume Production,Newark,27C8438,0.022,0.044
,,GRM155R61A106ME11D,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 10uF, X5R, 15%, 20%, 10V",C11,CMP-06035-026070-1,New From Design,Up to date,1,Murata,GRM155R61A106ME11D,Volume Production,Digikey,490-GRM155R61A106ME11DCT-ND,0.09,0.09
,,GRM155R71C104KA88D,CAP CER 0.1UF 16V X7R 0402,"C13, C20",CMP-2100-03641-2,Unknown server,Up to date,2,Murata,GRM155R71C104KA88D,Not Recommended for New Design,Digikey,490-3261-1-ND,0.1,0.2
,,Capacitor 10µF +/-20% 25V 0805,"Chip Capacitor, 10µF +/-20%, 25V, 0805, Thickness 1.45 mm","C14, C15",CMP-001-00079-4,Draft,Up to date,2,Murata,GRM21BR61E106KA73L,Volume Production,Mouser,81-GRM21BR61E106KA3L,0.21,0.42
,,GRM32ER61C476KE15L,CAP CER 47UF 16V X5R 1210,"C19, C23",CMP-2000-06362-2,Released,Up to date,2,Murata,GRM32ER61C476KE15L,Not Recommended for New Design,Future Electronics,4104106,1.02,2.04
,,C1608X5R1A106M080AC,Multilayer Ceramic Capacitors 10μF ±20% 10V X5R SMD 0603,C21,CMP-2000-04980-2,Released,Up to date,1,TDK,C1608X5R1A106M080AC,Not Recommended for New Design,Future Electronics,5103572,0.39,0.39
,,GRM155R71A104KA01D,"Chip Capacitor, 0.1 uF, +/- 10%, 10 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel",C22,CMP-2000-06331-1,Released,Up to date,1,Murata,GRM155R71A104KA01D,Not Recommended for New Design,Digikey,490-6321-1-ND,0.1,0.1
,,GRM1555C1H470GA01D,GRM1555C1H470GA01D  CAP CER 47PF 50V C0G/NP0 0402,C24,CMP-2008-04366-1,Released,Up to date,1,Murata,GRM1555C1H470GA01D,Not Recommended for New Design,Digikey,490-8206-1-ND,0.1,0.1
,,GRM1555C1H102JA01J,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 1000pF, C0G, 30ppm/°C, 5%, 50V",C25,CMP-2008-04255-2,Unknown server,Up to date,1,Murata,GRM1555C1H102JA01J,Volume Production,Digikey,490-6190-1-ND,0.1,0.1
,,PESD3V3S1BLYL,6.5V (Typ) Clamp 15A (8/20µs) Ipp Tvs Diode Surface Mount DFN1006-2,"D1, D2, D3",CMP-004-00035-1,Draft,Up to date,3,Nexperia,PESD3V3S1BLYL,Volume Production,Mouser,771-PESD3V3S1BLYL,0.1,0.3
,,LTST-C193TBKT-5A,"Single Color LED, Blue, Water Clear, 1.15mm","D4, D5, D6, D7",CMP-007-00044-1,Draft,Up to date,4,Vishay Lite-On,LTST-C193TBKT-5A,Volume Production,Digikey,160-1827-1-ND,0.22,0.88
,,USB4105-GF-A,Conn USB 2.0 Type C RCP 24 POS 0.3mm/0.5mm Solder RA SMD 24 Terminal 1 Port T/R,J1,CMP-002-00130-1,Draft,Up to date,1,Global Connector Technology,USB4105-GF-A,Volume Production,Mouser,640-USB4105-GF-A,0.78,0.78
,,USB4125-GF-A-0190,CONN RCPT TYPE C 6P SMD RA,J2,CMP-245163-000004-1,New From Design,Up to date,1,Global Connector Technology,USB4125-GF-A-0190,Volume Production,Newark,56AJ0230,0.389,0.389
